Time,Cycle, address, Tobject, Tambient, jumpvalue
02:43:24,1,90,29.91,31.45,-29.91
02:43:25,2,90,30.17,31.45,-0.26
02:43:25,3,90,30.17,31.45,0.0
02:43:26,4,90,30.19,31.39,-0.02
02:43:26,5,90,30.29,31.41,-0.1
02:43:26,6,90,30.15,31.45,0.14
02:43:27,7,90,30.19,31.41,-0.04
02:43:27,8,90,30.33,31.41,-0.14
02:43:28,9,90,31.01,31.45,-0.68
02:43:28,10,90,30.97,31.45,0.04
02:43:28,11,90,31.33,31.45,-0.36
02:43:29,12,90,31.83,31.41,-0.5
02:43:29,13,90,33.11,31.45,-1.28
02:43:30,14,90,32.59,31.45,0.52
02:43:30,15,90,33.11,31.45,-0.52
02:43:30,16,90,33.43,31.45,-0.32
02:43:31,17,90,33.51,31.47,-0.08
02:43:31,18,90,33.61,31.45,-0.1
02:43:32,19,90,33.51,31.45,0.1
02:43:32,20,90,30.73,31.47,2.78
02:43:32,21,90,30.63,31.47,0.1
02:43:33,22,90,30.47,31.41,0.16
02:43:33,23,90,30.45,31.47,0.02
02:43:34,24,90,30.53,31.41,-0.08
02:43:34,25,90,30.85,31.47,-0.32
02:43:35,26,90,32.25,31.41,-1.4
02:43:35,27,90,32.81,31.45,-0.56
02:43:35,28,90,33.07,31.45,-0.26
02:43:36,29,90,33.05,31.41,0.02
02:43:36,30,90,33.07,31.41,-0.02
02:43:37,31,90,33.03,31.45,0.04
02:43:37,32,90,33.11,31.45,-0.08
02:43:37,33,90,33.27,31.45,-0.16
02:43:38,34,90,33.29,31.45,-0.02
02:43:38,35,90,33.33,31.45,-0.04
02:43:39,36,90,33.33,31.45,0.0
02:43:39,37,90,33.29,31.41,0.04
02:43:40,38,90,33.21,31.47,0.08
02:43:40,39,90,33.27,31.39,-0.06
02:43:40,40,90,33.27,31.47,0.0
02:43:41,41,90,33.43,31.45,-0.16
02:43:41,42,90,33.51,31.41,-0.08
02:43:42,43,90,33.63,31.41,-0.12
02:43:42,44,90,33.51,31.39,0.12
02:43:43,45,90,30.47,31.47,3.04
02:43:43,46,90,30.39,31.45,0.08
02:43:43,47,90,30.25,31.47,0.14
Time,Cycle, address, Tobject, Tambient, jumpvalue
02:44:50,1,90,31.13,31.53,-31.13
02:44:51,2,90,31.19,31.51,-0.06
02:44:51,3,90,31.25,31.51,-0.06
02:44:52,4,90,31.25,31.51,0.0
02:44:52,5,90,31.15,31.53,0.1
02:44:52,6,90,31.07,31.53,0.08
02:44:53,7,90,31.25,31.51,-0.18
02:44:53,8,90,31.15,31.49,0.1
02:44:54,9,90,31.13,31.49,0.02
02:44:54,10,90,31.15,31.53,-0.02
02:44:54,11,90,31.21,31.49,-0.06
02:44:55,12,90,31.11,31.53,0.1
02:44:55,13,90,31.19,31.53,-0.08
02:44:56,14,90,31.33,31.51,-0.14
02:44:56,15,90,31.69,31.53,-0.36
02:44:57,16,90,31.67,31.51,0.02
02:44:57,17,90,31.63,31.55,0.04
02:44:57,18,90,31.63,31.51,0.0
02:44:58,19,90,31.61,31.55,0.02
02:44:58,20,90,31.57,31.53,0.04
02:44:59,21,90,31.63,31.51,-0.06
02:44:59,22,90,31.67,31.53,-0.04
02:44:59,23,90,31.61,31.47,0.06
02:45:00,24,90,31.63,31.55,-0.02
02:45:00,25,90,31.61,31.53,0.02
02:45:01,26,90,31.67,31.53,-0.06
02:45:01,27,90,31.71,31.49,-0.04
02:45:01,28,90,31.71,31.51,0.0
02:45:02,29,90,31.71,31.51,0.0
02:45:02,30,90,31.71,31.51,0.0
02:45:03,31,90,31.69,31.51,0.02
02:45:03,32,90,31.69,31.53,0.0
02:45:03,33,90,31.77,31.49,-0.08
02:45:04,34,90,31.71,31.49,0.06
02:45:04,35,90,31.75,31.49,-0.04
02:45:05,36,90,31.71,31.51,0.04
02:45:05,37,90,31.75,31.55,-0.04
02:45:05,38,90,31.81,31.53,-0.0599999999999
02:45:06,39,90,31.71,31.51,0.1
02:45:06,40,90,31.83,31.51,-0.12
02:45:07,41,90,31.81,31.53,0.02
02:45:07,42,90,31.77,31.51,0.04
02:45:08,43,90,31.81,31.53,-0.04
02:45:08,44,90,31.83,31.53,-0.02
02:45:08,45,90,31.83,31.51,0.0
02:45:09,46,90,31.55,31.53,0.28
02:45:09,47,90,31.57,31.53,-0.02
02:45:10,48,90,31.61,31.51,-0.04
02:45:10,49,90,31.55,31.53,0.06
02:45:10,50,90,31.47,31.53,0.08
02:45:11,51,90,31.21,31.51,0.26
02:45:11,52,90,31.07,31.51,0.14
02:45:12,53,90,31.19,31.51,-0.12
02:45:12,54,90,31.33,31.51,-0.14
02:45:12,55,90,31.53,31.53,-0.2
02:45:13,56,90,31.53,31.53,0.0
02:45:13,57,90,31.53,31.51,0.0
02:45:14,58,90,31.53,31.51,0.0
02:45:14,59,90,31.53,31.49,0.0
02:45:14,60,90,31.55,31.53,-0.02
02:45:15,61,90,31.53,31.51,0.02
02:45:15,62,90,31.55,31.51,-0.02
02:45:16,63,90,31.55,31.53,0.0
02:45:16,64,90,31.49,31.49,0.06
02:45:16,65,90,31.49,31.49,0.0
02:45:17,66,90,31.55,31.49,-0.06
02:45:17,67,90,31.49,31.51,0.06
02:45:18,68,90,31.53,31.49,-0.04
02:45:18,69,90,31.53,31.53,0.0
02:45:18,70,90,31.25,31.49,0.28
02:45:19,71,90,31.19,31.49,0.06
02:45:19,72,90,31.19,31.51,0.0
02:45:20,73,90,31.19,31.49,0.0
02:45:20,74,90,31.15,31.51,0.04
02:45:21,75,90,31.19,31.51,-0.04
02:45:21,76,90,31.19,31.49,0.0
02:45:21,77,90,31.19,31.53,0.0
02:45:22,78,90,31.27,31.49,-0.08
02:45:22,79,90,31.15,31.49,0.12
02:45:23,80,90,31.25,31.49,-0.1
02:45:23,81,90,31.21,31.51,0.04
02:45:23,82,90,31.21,31.49,0.0
02:45:24,83,90,31.25,31.51,-0.04
02:45:24,84,90,31.15,31.53,0.1
02:45:25,85,90,31.25,31.51,-0.1
02:45:25,86,90,31.29,31.53,-0.04
02:45:25,87,90,31.53,31.51,-0.24
02:45:26,88,90,31.81,31.49,-0.28
02:45:26,89,90,31.57,31.49,0.24
02:45:27,90,90,32.39,31.49,-0.82
02:45:27,91,90,31.49,31.47,0.9
02:45:27,92,90,31.47,31.51,0.02
02:45:28,93,90,31.49,31.51,-0.02
02:45:28,94,90,31.49,31.51,0.0
02:45:29,95,90,31.71,31.51,-0.22
02:45:29,96,90,31.77,31.53,-0.06
02:45:29,97,90,31.85,31.53,-0.08
02:45:30,98,90,31.29,31.51,0.56
02:45:30,99,90,31.07,31.53,0.22
02:45:31,100,90,31.13,31.51,-0.06
02:45:31,101,90,31.15,31.51,-0.02
02:45:31,102,90,31.19,31.53,-0.04
02:45:32,103,90,31.35,31.51,-0.16
02:45:32,104,90,31.43,31.51,-0.08
02:45:33,105,90,31.39,31.49,0.04
02:45:33,106,90,31.39,31.51,0.0
02:45:34,107,90,31.39,31.51,0.0
02:45:34,108,90,31.39,31.49,0.0
02:45:34,109,90,31.47,31.53,-0.08
02:45:35,110,90,31.29,31.55,0.18
02:45:35,111,90,31.39,31.51,-0.1
02:45:36,112,90,31.27,31.49,0.12
02:45:36,113,90,31.39,31.53,-0.12
02:45:36,114,90,31.39,31.49,0.0
02:45:37,115,90,31.39,31.49,0.0
02:45:37,116,90,31.39,31.51,0.0
02:45:38,117,90,31.47,31.53,-0.08
02:45:38,118,90,31.39,31.51,0.08
02:45:38,119,90,31.39,31.49,0.0
02:45:39,120,90,31.41,31.51,-0.02
02:45:39,121,90,31.41,31.51,0.0
02:45:40,122,90,31.53,31.49,-0.12
02:45:40,123,90,31.49,31.51,0.04
02:45:40,124,90,31.55,31.51,-0.06
02:45:41,125,90,31.53,31.47,0.02
02:45:41,126,90,31.47,31.49,0.06
02:45:42,127,90,31.49,31.49,-0.02
02:45:42,128,90,31.41,31.49,0.08
02:45:42,129,90,31.41,31.49,0.0
02:45:43,130,90,31.47,31.51,-0.06
02:45:43,131,90,31.47,31.49,0.0
