2015-09-14 13:05:48,305, INFO, *******INFO NEW TEST**************
2015-09-14 13:05:48,519, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.29000000000002jump up value: 30.29000000000002temp limit value: 0.6058000000000004
2015-09-14 13:05:48,522, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 22.950000000000045jump up value: 22.950000000000045temp limit value: 0.0
2015-09-14 13:05:48,726, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.650000000000034jump up value: 30.650000000000034temp limit value: 0.6130000000000007
2015-09-14 13:05:48,726, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 23.670000000000016jump up value: 23.670000000000016temp limit value: 0.0
2015-09-14 13:05:50,158, DEBUG, UP VALUE-Tobj:--> object temperature value: 34.370000000000005jump up value: 4.079999999999984temp limit value: 0.6874000000000001
2015-09-14 13:05:50,160, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.33000000000004jump up value: 3.3799999999999955temp limit value: 0.0
2015-09-14 13:05:50,364, DEBUG, UP VALUE-Tobj:--> object temperature value: 34.25000000000006jump up value: 3.6000000000000227temp limit value: 0.6850000000000012
2015-09-14 13:05:50,365, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.49000000000001jump up value: 2.819999999999993temp limit value: 0.0
2015-09-14 13:05:52,624, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 28.670000000000016jump up value: -5.699999999999989temp limit value: 0.5734000000000004
2015-09-14 13:05:52,625, DEBUG, DOWN VALUE-TambAmbient temperature value: 22.850000000000023jump up value: -3.480000000000018temp limit value: 0.0
2015-09-14 13:05:52,829, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 28.49000000000001jump up value: -5.760000000000048temp limit value: 0.5698000000000002
2015-09-14 13:05:52,831, DEBUG, DOWN VALUE-TambAmbient temperature value: 23.470000000000027jump up value: -3.019999999999982temp limit value: 0.0
2015-09-14 13:05:54,673, DEBUG, UP VALUE-Tobj:--> object temperature value: 31.210000000000036jump up value: 2.5400000000000205temp limit value: 0.6242000000000008
2015-09-14 13:05:54,878, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.950000000000045jump up value: 2.4600000000000364temp limit value: 0.6190000000000009
2015-09-14 13:05:56,312, DEBUG, UP VALUE-Tobj:--> object temperature value: 34.05000000000001jump up value: 2.839999999999975temp limit value: 0.6810000000000003
2015-09-14 13:05:56,313, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.390000000000043jump up value: 3.5400000000000205temp limit value: 0.0
2015-09-14 13:05:56,517, DEBUG, UP VALUE-Tobj:--> object temperature value: 33.950000000000045jump up value: 3.0temp limit value: 0.6790000000000009
2015-09-14 13:05:56,519, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.710000000000036jump up value: 3.240000000000009temp limit value: 0.0
2015-09-14 13:05:58,769, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 28.33000000000004jump up value: -5.71999999999997temp limit value: 0.5666000000000009
2015-09-14 13:05:58,772, DEBUG, DOWN VALUE-TambAmbient temperature value: 23.690000000000055jump up value: -2.6999999999999886temp limit value: 0.0
2015-09-14 13:05:58,974, DEBUG, DOWN VALUE-Tobj:--> object temperature value: 27.430000000000007jump up value: -6.520000000000039temp limit value: 0.5486000000000002
2015-09-14 13:05:58,977, DEBUG, DOWN VALUE-TambAmbient temperature value: 22.83000000000004jump up value: -3.8799999999999955temp limit value: 0.0
2015-09-14 13:06:00,819, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.930000000000007jump up value: 2.599999999999966temp limit value: 0.6186000000000001
2015-09-14 13:06:01,479, DEBUG, UP VALUE-Tobj:--> object temperature value: 30.670000000000016jump up value: 3.240000000000009temp limit value: 0.6134000000000003
2015-09-14 13:06:02,911, DEBUG, UP VALUE-Tobj:--> object temperature value: 33.910000000000025jump up value: 2.980000000000018temp limit value: 0.6782000000000005
2015-09-14 13:06:02,913, DEBUG, UP VALUE-Tamb:-->Ambient temperature value: 26.250000000000057jump up value: 2.5600000000000023temp limit value: 0.0
